gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
於每單位聯電,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
每單位聯電相,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
單位聯電相當,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
位聯電相當於,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
聯電相當於台,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
當於台股股聯,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
於台股股聯電,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
台股股聯電普,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
股股聯電普通,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
股聯電普通股,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
聯電普通股以,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
算相當台股聯,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
相當台股聯電,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
當台股聯電每,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
台股聯電每股,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
股聯電每股為,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
聯電每股為元,292,292,1.806812093,655,655,10.31905568,1.917730899,1.917730899,43878.79597,0.000459589,152.2632817,12812608.42
年月日電聯電,294,294,1.798075897,670,670,10.30802159,1.9616484,1.9616484,43476.90381,0.000452377,149.8739529,12782209.72
月日電聯電在,292,292,1.806812093,657,657,10.31758122,1.923586566,1.923586566,43743.45669,0.00045819,151.7997709,12773089.35
聯電日,305,305,1.750762743,774,761,10.26176796,2.266143077,2.228081243,41143.39864,0.000413184,136.8890838,12548736.59
台股,3955,864,0.23104335,172267,53883,4.918951579,504.3690821,157.7604489,3161.592827,1.65307E-05,5.476657845,12504099.63
電聯電,367,366,1.508889811,1420,1335,9.943668026,4.157523475,3.908657634,33543.5212,0.000282636,93.63828565,12310472.28
北年月日電聯,292,292,1.806812093,683,683,10.29850501,1.999710235,1.999710235,42056.17724,0.000440748,146.0211559,12280403.75
聯電在,300,299,1.777158572,831,822,10.21194645,2.433029583,2.406679082,36551.44496,0.000374997,124.2375862,10965433.49
電聯,412,400,1.390693409,2746,2455,9.455203901,8.039830608,7.187831079,21467.03204,0.000167972,55.64961052,8844417.199
元跌幅,616,314,1.856296122,3852,2400,9.813433417,11.27801439,7.02680024,13410.44887,0.00013488,44.68605756,8260836.506
下跌,1855,711,0.575808701,84014,33395,5.903876633,245.9789981,97.77499751,3846.023148,2.19491E-05,7.271797679,7134372.939
日下跌美元跌,292,292,1.806812093,1185,1184,9.967874155,3.469482619,3.466554785,24015.64497,0.000254249,84.23348774,7012568.333
美元跌幅折台,292,292,1.806812093,1185,1184,9.967874155,3.469482619,3.466554785,24015.64497,0.000254249,84.23348774,7012568.333
元跌幅折台股,292,292,1.806812093,1184,1184,9.966977013,3.466554785,3.466554785,24015.64497,0.000254249,84.23348774,7012568.333
跌幅折台股元,292,292,1.806812093,1184,1184,9.966977013,3.466554785,3.466554785,24015.64497,0.000254249,84.23348774,7012568.333
美元作收下跌,292,292,1.806812093,1186,1186,9.965784289,3.472410452,3.472410452,23974.1733,0.00025382,84.09144139,7000458.602
元作收下跌美,292,292,1.806812093,1186,1186,9.965784289,3.472410452,3.472410452,23974.1733,0.00025382,84.09144139,7000458.602
作收下跌美元,292,292,1.806812093,1186,1186,9.965784289,3.472410452,3.472410452,23974.1733,0.00025382,84.09144139,7000458.602
跌美元跌幅折,292,292,1.806812093,1188,1187,9.966082752,3.478266119,3.475338285,23953.48987,0.000253607,84.02059771,6994419.042
收下跌美元跌,291,291,1.81119602,1185,1185,9.966380534,3.469482619,3.469482619,23828.85505,0.000253165,83.87417722,6934196.82
元跌幅由於每,291,291,1.81119602,1185,1185,9.966380534,3.469482619,3.469482619,23828.85505,0.000253165,83.87417722,6934196.82
跌幅由於每單,291,291,1.81119602,1185,1185,9.966380534,3.469482619,3.469482619,23828.85505,0.000253165,83.87417722,6934196.82
跌美元跌幅由,291,291,1.81119602,1186,1186,9.965784289,3.472410452,3.472410452,23808.2784,0.000252951,83.803457,6928209.014
美元跌幅由於,291,291,1.81119602,1186,1186,9.965784289,3.472410452,3.472410452,23808.2784,0.000252951,83.803457,6928209.014
以美元作收下,287,287,1.828838595,1181,1181,9.968767861,3.457771285,3.457771285,23250.8714,0.00025053,83.0014412,6673000.091
電每股為元最,292,292,1.806812093,1303,1303,9.897597425,3.814966964,3.814966964,21769.68085,0.000231029,76.5406366,6356746.809
電相當於台股,292,292,1.806812093,1304,1304,9.897027696,3.817894797,3.817894797,21752.54431,0.000230852,76.48193979,6351742.939
電普通股以月,292,292,1.806812093,1304,1304,9.897027696,3.817894797,3.817894797,21752.54431,0.000230852,76.48193979,6351742.939
作收,857,585,0.863744998,21638,14146,7.307069159,63.35245983,41.41713175,7134.302212,4.26334E-05,14.12458988,6114096.996
跌幅,1316,579,0.923097112,36732,21359,6.625989453,107.5451777,62.5355943,4265.338569,2.79464E-05,9.258727073,5613185.557
日行情如下聯,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
行情如下聯電,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
情如下聯電近,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
如下聯電近十,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
下聯電近十個,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
聯電近十個交,194,194,2.298074789,442,442,10.47987124,1.294102378,1.294102378,28696.00089,0.000452489,149.9108597,5567024.173
元跌,651,324,1.816129181,6411,3972,9.235143332,18.77034014,11.6293544,8390.441713,8.40938E-05,27.86053197,5462177.555
電相,301,301,1.767825716,1669,1659,9.713249811,4.886554,4.857275666,18055.49432,0.000187046,61.96889382,5434703.789
個交易日行情,486,292,1.922171166,4392,2622,9.756985177,12.85904444,7.676779262,10530.41791,0.00011481,38.0367847,5117783.105
日行情,493,298,1.892788889,4656,2867,9.629166307,13.63199247,8.394098454,9991.731533,0.000107156,35.50113233,4925923.646
超億元,1212,301,2.075257424,20365,7445,8.750956251,59.62532787,21.79771991,3576.241622,4.16802E-05,13.80878373,4334404.845
賣超,2027,384,1.733252419,47226,17674,7.222611399,138.2698617,51.7465281,2133.32901,2.23988E-05,7.420787714,4324257.904
下跌美,597,303,1.908109732,8938,4068,9.461050017,26.16897523,11.91042641,7114.198682,7.67874E-05,25.43989523,4247176.613
電在掛牌以美,292,292,1.806812093,1961,1961,9.562557408,5.741481363,5.741481363,14272.2643,0.000153509,50.85795486,4167501.176
行情,990,561,0.950197503,33573,20956,6.625203416,98.29615186,61.35567743,4068.80764,2.75983E-05,9.143408133,4028119.563
買超前,382,192,2.519875925,2188,1252,10.51428994,6.406099552,3.665647459,9676.279224,0.000158098,52.37819571,3696338.664
電日,314,314,1.712943314,2896,2780,9.263499484,8.479005623,8.139376945,11493.59728,0.000116443,38.57789142,3608989.547
賣超前五,319,160,2.742247915,1419,754,10.97308338,4.154595642,2.207586409,11278.58266,0.000218765,72.4773442,3597867.868
賣超前五大為,300,150,2.818834311,1284,642,11.14526465,3.759338129,1.879669064,11672.07188,0.000240871,79.80128143,3501621.565
跌美,615,320,1.824804686,15534,5756,9.137201531,45.48096456,16.85260924,5453.063036,5.73136E-05,18.98815758,3353633.767
股以,410,392,1.421578666,6409,5889,8.412766532,18.76448447,17.24201109,8145.42744,6.86235E-05,22.73516691,3339625.25
股為元,305,304,1.755732245,2778,2757,9.242023668,8.133521278,8.072036776,10848.97924,0.000113675,37.66087896,3308938.669
買超前五大為,283,150,2.798295868,1244,642,11.10797969,3.642224791,1.879669064,11672.07188,0.000240871,79.80128143,3303196.343
超前,758,199,2.668896833,6006,2864,9.859427431,17.5845676,8.385314953,4333.046327,7.16322E-05,23.73196488,3284449.115
幅折台股元中,292,292,1.806812093,2465,2465,9.347580229,7.217109413,7.217109413,11237.36528,0.000122122,40.45941156,3281310.663
幅由於每單位,291,291,1.81119602,2467,2467,9.346782874,7.22296508,7.22296508,11149.07862,0.000121605,40.28816376,3244381.878
股為,462,385,1.470661153,7382,6565,8.290454816,21.61326641,19.22122649,6960.747859,6.04581E-05,20.02993931,3215865.511
掛牌以美元作,287,287,1.828838595,2458,2458,9.350374115,7.196614579,7.196614579,10878.71716,0.000120373,39.87986251,3122191.824
牌以美元作收,287,287,1.828838595,2458,2458,9.350374115,7.196614579,7.196614579,10878.71716,0.000120373,39.87986251,3122191.824
於台股,348,344,1.594466049,4329,4203,8.793678597,12.67459093,12.30568392,8940.674897,8.43776E-05,27.95456167,3111354.864
折台股元中央,292,292,1.806812093,2618,2618,9.287701979,7.665067929,7.665067929,10547.37601,0.000114985,38.09490049,3079833.795
股元中央社台,292,292,1.806812093,2618,2618,9.287701979,7.665067929,7.665067929,10547.37601,0.000114985,38.09490049,3079833.795
台股元中央社,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
在掛牌以美元,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
每股為元最近,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
股為元最近個,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
為元最近個交,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
元最近個交易,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
近個交易日行,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
交易日行情如,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
易日行情如下,292,292,1.806812093,2619,2619,9.287317876,7.667995762,7.667995762,10543.13163,0.000114941,38.0803549,3078594.435
相當於台股股,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
通股以月日新,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
股以月日新台,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
以月日新台幣,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
日新台幣匯市,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
新台幣匯市收,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
台幣匯市收盤,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
匯市收盤價元,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
市收盤價元計,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
元計算相當台,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
計算相當台股,292,292,1.806812093,2620,2620,9.286933864,7.670923596,7.670923596,10538.89048,0.000114897,38.06582041,3077356.021
